"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2007","4","18","00:00","420.3"
"Sodankylä Tähtelä","2007","4","19","00:00","235.9"
"Sodankylä Tähtelä","2007","4","20","00:00","263.2"
"Sodankylä Tähtelä","2007","4","21","00:00","57.3"
"Sodankylä Tähtelä","2007","4","22","00:00","434.8"
"Sodankylä Tähtelä","2007","4","23","00:00","1"
"Sodankylä Tähtelä","2007","4","24","00:00","379.7"
"Sodankylä Tähtelä","2007","4","25","00:00","194.3"
"Sodankylä Tähtelä","2007","4","26","00:00","128.4"
"Sodankylä Tähtelä","2007","4","27","00:00","20.5"
"Sodankylä Tähtelä","2007","4","28","00:00","200.1"
"Sodankylä Tähtelä","2007","4","29","00:00","178.1"
"Sodankylä Tähtelä","2007","4","30","00:00","228.4"
"Sodankylä Tähtelä","2007","5","1","00:00","2"
"Sodankylä Tähtelä","2007","5","2","00:00","29.4"
"Sodankylä Tähtelä","2007","5","3","00:00","114.8"
"Sodankylä Tähtelä","2007","5","4","00:00","247.2"
"Sodankylä Tähtelä","2007","5","5","00:00","122.5"
"Sodankylä Tähtelä","2007","5","6","00:00","107.5"
"Sodankylä Tähtelä","2007","5","7","00:00","1.3"
"Sodankylä Tähtelä","2007","5","8","00:00","7.4"
"Sodankylä Tähtelä","2007","5","9","00:00","0.7"
"Sodankylä Tähtelä","2007","5","10","00:00","1.2"
"Sodankylä Tähtelä","2007","5","11","00:00","1.1"
"Sodankylä Tähtelä","2007","5","12","00:00","1.9"
"Sodankylä Tähtelä","2007","5","13","00:00","79.2"
"Sodankylä Tähtelä","2007","5","14","00:00","85.4"
"Sodankylä Tähtelä","2007","5","15","00:00","0.3"
"Sodankylä Tähtelä","2007","5","16","00:00","58.7"
"Sodankylä Tähtelä","2007","5","17","00:00","101.3"
"Sodankylä Tähtelä","2007","5","18","00:00","282.5"
"Sodankylä Tähtelä","2007","5","19","00:00","52.2"
"Sodankylä Tähtelä","2007","5","20","00:00","125"
"Sodankylä Tähtelä","2007","5","21","00:00","332.4"
