"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2024","7","8","00:00","152.1"
"Sodankylä Tähtelä","2024","7","9","00:00","105"
"Sodankylä Tähtelä","2024","7","10","00:00","455.1"
"Sodankylä Tähtelä","2024","7","11","00:00","57.1"
"Sodankylä Tähtelä","2024","7","12","00:00","1.5"
"Sodankylä Tähtelä","2024","7","13","00:00","333"
"Sodankylä Tähtelä","2024","7","14","00:00","576.9"
"Sodankylä Tähtelä","2024","7","15","00:00","292"
"Sodankylä Tähtelä","2024","7","16","00:00","212.1"
"Sodankylä Tähtelä","2024","7","17","00:00","146.7"
"Sodankylä Tähtelä","2024","7","18","00:00","199.2"
"Sodankylä Tähtelä","2024","7","19","00:00","29"
"Sodankylä Tähtelä","2024","7","20","00:00","303.5"
"Sodankylä Tähtelä","2024","7","21","00:00","544.2"
"Sodankylä Tähtelä","2024","7","22","00:00","575.5"
"Sodankylä Tähtelä","2024","7","23","00:00","477.9"
"Sodankylä Tähtelä","2024","7","24","00:00","416.2"
"Sodankylä Tähtelä","2024","7","25","00:00","350.3"
"Sodankylä Tähtelä","2024","7","26","00:00","293.2"
"Sodankylä Tähtelä","2024","7","27","00:00","286.2"
"Sodankylä Tähtelä","2024","7","28","00:00","50.2"
"Sodankylä Tähtelä","2024","7","29","00:00","33.8"
"Sodankylä Tähtelä","2024","7","30","00:00","13.1"
"Sodankylä Tähtelä","2024","7","31","00:00","0"
"Sodankylä Tähtelä","2024","8","1","00:00","0.1"
"Sodankylä Tähtelä","2024","8","2","00:00","88.3"
"Sodankylä Tähtelä","2024","8","3","00:00","311.2"
"Sodankylä Tähtelä","2024","8","4","00:00","216.5"
"Sodankylä Tähtelä","2024","8","5","00:00","464.9"
"Sodankylä Tähtelä","2024","8","6","00:00","496"
"Sodankylä Tähtelä","2024","8","7","00:00","500.5"
"Sodankylä Tähtelä","2024","8","8","00:00","460.3"
"Sodankylä Tähtelä","2024","8","9","00:00","344"
"Sodankylä Tähtelä","2024","8","10","00:00","189.7"
"Sodankylä Tähtelä","2024","8","11","00:00","65.6"
"Sodankylä Tähtelä","2024","8","12","00:00","121.4"
"Sodankylä Tähtelä","2024","8","13","00:00","405.6"
"Sodankylä Tähtelä","2024","8","14","00:00","407.6"
"Sodankylä Tähtelä","2024","8","15","00:00","170.3"
"Sodankylä Tähtelä","2024","8","16","00:00","0.4"
"Sodankylä Tähtelä","2024","8","17","00:00","262.7"
"Sodankylä Tähtelä","2024","8","18","00:00","213.4"
"Sodankylä Tähtelä","2024","8","19","00:00","109.5"
"Sodankylä Tähtelä","2024","8","20","00:00","280.2"
"Sodankylä Tähtelä","2024","8","21","00:00","132.1"
"Sodankylä Tähtelä","2024","8","22","00:00","12.8"
"Sodankylä Tähtelä","2024","8","23","00:00","241.2"
"Sodankylä Tähtelä","2024","8","24","00:00","1.3"
"Sodankylä Tähtelä","2024","8","25","00:00","41.9"
"Sodankylä Tähtelä","2024","8","26","00:00","257.8"
"Sodankylä Tähtelä","2024","8","27","00:00","187.6"
"Sodankylä Tähtelä","2024","8","28","00:00","175.3"
"Sodankylä Tähtelä","2024","8","29","00:00","186"
"Sodankylä Tähtelä","2024","8","30","00:00","83.4"
"Sodankylä Tähtelä","2024","8","31","00:00","0.4"
"Sodankylä Tähtelä","2024","9","1","00:00","356.5"
"Sodankylä Tähtelä","2024","9","2","00:00","80.6"
"Sodankylä Tähtelä","2024","9","3","00:00","1.9"
"Sodankylä Tähtelä","2024","9","4","00:00","205.6"
"Sodankylä Tähtelä","2024","9","5","00:00","250.4"
"Sodankylä Tähtelä","2024","9","6","00:00","312.2"
"Sodankylä Tähtelä","2024","9","7","00:00","159"
"Sodankylä Tähtelä","2024","9","8","00:00","12.3"
"Sodankylä Tähtelä","2024","9","9","00:00","50.9"
"Sodankylä Tähtelä","2024","9","10","00:00","126.8"
"Sodankylä Tähtelä","2024","9","11","00:00","39.1"
"Sodankylä Tähtelä","2024","9","12","00:00","77"
"Sodankylä Tähtelä","2024","9","13","00:00","0.4"
"Sodankylä Tähtelä","2024","9","14","00:00","78.1"
"Sodankylä Tähtelä","2024","9","15","00:00","19.3"
"Sodankylä Tähtelä","2024","9","16","00:00","298.1"
"Sodankylä Tähtelä","2024","9","17","00:00","129.1"
"Sodankylä Tähtelä","2024","9","18","00:00","103.6"
"Sodankylä Tähtelä","2024","9","19","00:00","-0.4"
"Sodankylä Tähtelä","2024","9","20","00:00","287.5"
"Sodankylä Tähtelä","2024","9","21","00:00","119.8"
"Sodankylä Tähtelä","2024","9","22","00:00","282.2"
"Sodankylä Tähtelä","2024","9","23","00:00","161.7"
"Sodankylä Tähtelä","2024","9","24","00:00","0"
"Sodankylä Tähtelä","2024","9","25","00:00","0"
"Sodankylä Tähtelä","2024","9","26","00:00","0.9"
"Sodankylä Tähtelä","2024","9","27","00:00","0.7"
"Sodankylä Tähtelä","2024","9","28","00:00","-0.1"
"Sodankylä Tähtelä","2024","9","29","00:00","201.1"
"Sodankylä Tähtelä","2024","9","30","00:00","264.3"
"Sodankylä Tähtelä","2024","10","1","00:00","116.3"
"Sodankylä Tähtelä","2024","10","2","00:00","142.6"
"Sodankylä Tähtelä","2024","10","3","00:00","89.6"
"Sodankylä Tähtelä","2024","10","4","00:00","37.2"
"Sodankylä Tähtelä","2024","10","5","00:00","47.9"
"Sodankylä Tähtelä","2024","10","6","00:00","203.2"
"Sodankylä Tähtelä","2024","10","7","00:00","167.2"
"Sodankylä Tähtelä","2024","10","8","00:00","43.2"
"Sodankylä Tähtelä","2024","10","9","00:00","23.4"
"Sodankylä Tähtelä","2024","10","10","00:00","-0.5"
"Sodankylä Tähtelä","2024","10","11","00:00","-0.2"
"Sodankylä Tähtelä","2024","10","12","00:00","190.4"
"Sodankylä Tähtelä","2024","10","13","00:00","-0.3"
"Sodankylä Tähtelä","2024","10","14","00:00","0.5"
"Sodankylä Tähtelä","2024","10","15","00:00","159.3"
"Sodankylä Tähtelä","2024","10","16","00:00","4.2"
"Sodankylä Tähtelä","2024","10","17","00:00","-0.2"
"Sodankylä Tähtelä","2024","10","18","00:00","18.9"
"Sodankylä Tähtelä","2024","10","19","00:00","-0.3"
"Sodankylä Tähtelä","2024","10","20","00:00","-0.4"
"Sodankylä Tähtelä","2024","10","21","00:00","-0.3"
"Sodankylä Tähtelä","2024","10","22","00:00","127.8"
"Sodankylä Tähtelä","2024","10","23","00:00","103.5"
"Sodankylä Tähtelä","2024","10","24","00:00","163.9"
"Sodankylä Tähtelä","2024","10","25","00:00","30.3"
"Sodankylä Tähtelä","2024","10","26","00:00","151.3"
"Sodankylä Tähtelä","2024","10","27","00:00","16.2"
"Sodankylä Tähtelä","2024","10","28","00:00","33.7"
"Sodankylä Tähtelä","2024","10","29","00:00","110.6"
"Sodankylä Tähtelä","2024","10","30","00:00","-0.7"
"Sodankylä Tähtelä","2024","10","31","00:00","126.1"
"Sodankylä Tähtelä","2024","11","1","00:00","51.9"
"Sodankylä Tähtelä","2024","11","2","00:00","86.7"
"Sodankylä Tähtelä","2024","11","3","00:00","53"
"Sodankylä Tähtelä","2024","11","4","00:00","57.6"
"Sodankylä Tähtelä","2024","11","5","00:00","0"
"Sodankylä Tähtelä","2024","11","6","00:00","-0.5"
"Sodankylä Tähtelä","2024","11","7","00:00","-0.6"
"Sodankylä Tähtelä","2024","11","8","00:00","13.3"
"Sodankylä Tähtelä","2024","11","9","00:00","79.8"
"Sodankylä Tähtelä","2024","11","10","00:00","70.9"
"Sodankylä Tähtelä","2024","11","11","00:00","-0.3"
"Sodankylä Tähtelä","2024","11","12","00:00","-0.4"
"Sodankylä Tähtelä","2024","11","13","00:00","0.5"
"Sodankylä Tähtelä","2024","11","14","00:00","3.6"
"Sodankylä Tähtelä","2024","11","15","00:00","-0.3"
"Sodankylä Tähtelä","2024","11","16","00:00","-0.4"
"Sodankylä Tähtelä","2024","11","17","00:00","1.1"
"Sodankylä Tähtelä","2024","11","18","00:00","-0.1"
"Sodankylä Tähtelä","2024","11","19","00:00","0.8"
"Sodankylä Tähtelä","2024","11","20","00:00","11.1"
"Sodankylä Tähtelä","2024","11","21","00:00","0.1"
"Sodankylä Tähtelä","2024","11","22","00:00","-0.3"
"Sodankylä Tähtelä","2024","11","23","00:00","2.2"
"Sodankylä Tähtelä","2024","11","24","00:00","15.2"
"Sodankylä Tähtelä","2024","11","25","00:00","-0.1"
"Sodankylä Tähtelä","2024","11","26","00:00","-0.6"
"Sodankylä Tähtelä","2024","11","27","00:00","3.8"
"Sodankylä Tähtelä","2024","11","28","00:00","3.6"
"Sodankylä Tähtelä","2024","11","29","00:00","-0.4"
"Sodankylä Tähtelä","2024","11","30","00:00","3.4"
"Sodankylä Tähtelä","2024","12","1","00:00","1.1"
"Sodankylä Tähtelä","2024","12","2","00:00","-0.6"
"Sodankylä Tähtelä","2024","12","3","00:00","9.8"
"Sodankylä Tähtelä","2024","12","4","00:00","8.3"
"Sodankylä Tähtelä","2024","12","5","00:00","0.4"
"Sodankylä Tähtelä","2024","12","6","00:00","-0.1"
"Sodankylä Tähtelä","2024","12","7","00:00","-0.4"
"Sodankylä Tähtelä","2024","12","8","00:00","-0.4"
"Sodankylä Tähtelä","2024","12","9","00:00","-0.1"
"Sodankylä Tähtelä","2024","12","10","00:00","-0.3"
"Sodankylä Tähtelä","2024","12","11","00:00","-1.1"
"Sodankylä Tähtelä","2024","12","12","00:00","-0.2"
"Sodankylä Tähtelä","2024","12","13","00:00","0"
"Sodankylä Tähtelä","2024","12","14","00:00","2"
"Sodankylä Tähtelä","2024","12","15","00:00","1.4"
"Sodankylä Tähtelä","2024","12","16","00:00","-0.3"
"Sodankylä Tähtelä","2024","12","17","00:00","1.7"
"Sodankylä Tähtelä","2024","12","18","00:00","0.9"
"Sodankylä Tähtelä","2024","12","19","00:00","0.6"
"Sodankylä Tähtelä","2024","12","20","00:00","-0.1"
"Sodankylä Tähtelä","2024","12","21","00:00","0.1"
"Sodankylä Tähtelä","2024","12","22","00:00","-0.1"
"Sodankylä Tähtelä","2024","12","23","00:00","1.9"
"Sodankylä Tähtelä","2024","12","24","00:00","0.4"
"Sodankylä Tähtelä","2024","12","25","00:00","-0.1"
"Sodankylä Tähtelä","2024","12","26","00:00","-0.6"
"Sodankylä Tähtelä","2024","12","27","00:00","-0.5"
"Sodankylä Tähtelä","2024","12","28","00:00","-0.5"
"Sodankylä Tähtelä","2024","12","29","00:00","-0.7"
"Sodankylä Tähtelä","2024","12","30","00:00","-0.2"
"Sodankylä Tähtelä","2024","12","31","00:00","-0.4"
"Sodankylä Tähtelä","2025","1","1","00:00","0.1"
