"Observation station","Year","Month","Day","Time [Local time]","Precipitation amount [mm]","Snow depth [cm]","Average temperature [°C]"
"Kolari Kattilamaa","2000","4","7","03:00","-1","110","-"
"Kolari Kattilamaa","2000","4","8","03:00","-1","110","-"
"Kolari Kattilamaa","2000","4","9","03:00","0.3","100","-"
"Kolari Kattilamaa","2000","4","10","03:00","-1","94","-"
"Kolari Kattilamaa","2000","4","11","03:00","5.5","88","-"
"Kolari Kattilamaa","2000","4","12","03:00","5.1","88","-"
"Kolari Kattilamaa","2000","4","13","03:00","2","90","-"
"Kolari Kattilamaa","2000","4","14","03:00","0.1","89","-"
"Kolari Kattilamaa","2000","4","15","03:00","0","83","-"
"Kolari Kattilamaa","2000","4","16","03:00","-1","82","-"
"Kolari Kattilamaa","2000","4","17","03:00","3.1","81","-"
"Kolari Kattilamaa","2000","4","18","03:00","0","78","-"
"Kolari Kattilamaa","2000","4","19","03:00","0.1","73","-"
"Kolari Kattilamaa","2000","4","20","03:00","2.6","70","-"
"Kolari Kattilamaa","2000","4","21","03:00","2.3","68","-"
"Kolari Kattilamaa","2000","4","22","03:00","0.9","62","-"
"Kolari Kattilamaa","2000","4","23","03:00","3.6","60","-"
"Kolari Kattilamaa","2000","4","24","03:00","-1","57","-"
"Kolari Kattilamaa","2000","4","25","03:00","4.4","51","-"
"Kolari Kattilamaa","2000","4","26","03:00","0","50","-"
"Kolari Kattilamaa","2000","4","27","03:00","-1","45","-"
"Kolari Kattilamaa","2000","4","28","03:00","-1","42","-"
"Kolari Kattilamaa","2000","4","29","03:00","-1","41","-"
"Kolari Kattilamaa","2000","4","30","03:00","-1","40","-"
"Kolari Kattilamaa","2000","5","1","03:00","-1","37","-"
"Kolari Kattilamaa","2000","5","2","03:00","-1","34","-"
"Kolari Kattilamaa","2000","5","3","03:00","-1","28","-"
"Kolari Kattilamaa","2000","5","4","03:00","0.2","20","-"
"Kolari Kattilamaa","2000","5","5","03:00","-1","17","-"
"Kolari Kattilamaa","2000","5","6","03:00","-1","10","-"
"Kolari Kattilamaa","2000","5","7","03:00","0.2","7","-"
"Kolari Kattilamaa","2000","5","8","03:00","-1","3","-"
"Kolari Kattilamaa","2000","5","9","03:00","0.4","0","-"
"Kolari Kattilamaa","2000","5","10","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","11","03:00","0.7","-1","-"
"Kolari Kattilamaa","2000","5","12","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","13","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","14","03:00","0.2","-1","-"
"Kolari Kattilamaa","2000","5","15","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","16","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","17","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","18","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","19","03:00","0","-1","-"
"Kolari Kattilamaa","2000","5","20","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","21","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","22","03:00","0.7","-1","-"
"Kolari Kattilamaa","2000","5","23","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","24","03:00","1.4","-1","-"
"Kolari Kattilamaa","2000","5","25","03:00","8.5","-1","-"
"Kolari Kattilamaa","2000","5","26","03:00","8.6","-1","-"
"Kolari Kattilamaa","2000","5","27","03:00","0.8","-1","-"
"Kolari Kattilamaa","2000","5","28","03:00","2.7","-1","-"
"Kolari Kattilamaa","2000","5","29","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","30","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","5","31","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","6","1","03:00","0","-1","-"
"Kolari Kattilamaa","2000","6","2","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","6","3","03:00","2.9","-1","-"
"Kolari Kattilamaa","2000","6","4","03:00","2.2","-1","-"
"Kolari Kattilamaa","2000","6","5","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","6","6","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","6","7","03:00","0","-1","-"
"Kolari Kattilamaa","2000","6","8","03:00","1.7","-1","-"
"Kolari Kattilamaa","2000","6","9","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","6","10","03:00","1.4","-1","-"
"Kolari Kattilamaa","2000","6","11","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","6","12","03:00","4.9","-1","-"
"Kolari Kattilamaa","2000","6","13","03:00","19.7","-1","-"
"Kolari Kattilamaa","2000","6","14","03:00","0.2","-1","-"
"Kolari Kattilamaa","2000","6","15","03:00","0.7","-1","-"
"Kolari Kattilamaa","2000","6","16","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","6","17","03:00","0.6","-1","-"
"Kolari Kattilamaa","2000","6","18","03:00","4","-1","-"
"Kolari Kattilamaa","2000","6","19","03:00","1.2","-1","-"
"Kolari Kattilamaa","2000","6","20","03:00","0.2","-1","-"
"Kolari Kattilamaa","2000","6","21","03:00","0","-1","-"
"Kolari Kattilamaa","2000","6","22","03:00","11.9","-1","-"
"Kolari Kattilamaa","2000","6","23","03:00","1.7","-1","-"
"Kolari Kattilamaa","2000","6","24","03:00","2.7","-1","-"
"Kolari Kattilamaa","2000","6","25","03:00","0.9","-1","-"
"Kolari Kattilamaa","2000","6","26","03:00","22.3","-1","-"
"Kolari Kattilamaa","2000","6","27","03:00","2.6","-1","-"
"Kolari Kattilamaa","2000","6","28","03:00","0.5","-1","-"
"Kolari Kattilamaa","2000","6","29","03:00","7.2","-1","-"
"Kolari Kattilamaa","2000","6","30","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","7","1","03:00","0","-1","-"
"Kolari Kattilamaa","2000","7","2","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","7","3","03:00","0.2","-1","-"
"Kolari Kattilamaa","2000","7","4","03:00","1.5","-1","-"
"Kolari Kattilamaa","2000","7","5","03:00","2.4","-1","-"
"Kolari Kattilamaa","2000","7","6","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","7","7","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","7","8","03:00","10.5","-1","-"
"Kolari Kattilamaa","2000","7","9","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","7","10","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","7","11","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","7","12","03:00","0.5","-1","-"
"Kolari Kattilamaa","2000","7","13","03:00","7","-1","-"
"Kolari Kattilamaa","2000","7","14","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","7","15","03:00","-1","-1","-"
"Kolari Kattilamaa","2000","7","16","03:00","6.1","-1","-"
