Date,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],cloud_cover_code
2000-01-02,0.7,52,-9.4,7
2000-01-03,1.1,50,-6,7
2000-01-04,4.4,50,-9.5,7
2000-01-05,0.6,56,-15.2,8
2000-01-06,3.3,53,-16.3,8
2000-01-07,0.6,54,-0.9,7
2000-01-08,0.6,52,-0.2,7
2000-01-09,-1,50,0.9,0
2000-01-10,-1,50,-6.9,0
2000-01-11,2.5,50,-7.1,0
2000-01-12,5.1,52,-3,1
2000-01-13,-1,60,-3.8,7
2000-01-14,0.5,59,-12.2,7
2000-01-15,-1,58,-8.3,7
2000-01-16,7.9,57,-9.1,9
2000-01-17,0.7,64,-6.4,8
2000-01-18,0.1,65,-20,5
2000-01-19,0.4,64,-16.2,7
2000-01-20,0.3,65,-19.4,9
2000-01-21,0.1,64,-14.1,8
2000-01-22,0.3,63,-22.6,0
2000-01-23,-1,63,-25,8
2000-01-24,1.2,63,-28.9,9
2000-01-25,7.5,64,-13.8,8
2000-01-26,0.3,68,-6.7,8
2000-01-27,-1,68,-14.2,7
2000-01-28,-1,67,-25.5,0
2000-01-29,4,66,-24.8,0
2000-01-30,5.1,68,-3.2,8
2000-01-31,3,74,-7.5,8
2000-02-01,0.9,74,-8.5,5
2000-02-02,0.7,74,-12.8,7
2000-02-03,0.2,73,-13.9,7
2000-02-04,1.5,73,-18.1,0
2000-02-05,-1,74,-15.4,8
2000-02-06,8.9,74,-10.4,8
2000-02-07,1.5,79,-4.7,9
2000-02-08,2.1,79,-0.3,9
2000-02-09,-1,78,-8.7,8
2000-02-10,0.6,77,-8.4,0
2000-02-11,0.6,77,0.2,8
2000-02-12,0.1,76,-4.5,8
2000-02-13,0,75,-1.3,7
2000-02-14,0.3,75,-1.6,7
2000-02-15,0.8,75,-4.2,8
2000-02-16,0.7,75,-8.4,8
2000-02-17,1.4,76,-10.2,0
2000-02-18,0.8,77,-7,7
2000-02-19,0.7,78,-7,8
2000-02-20,0.2,79,-8.5,8
2000-02-21,0.4,78,-15.5,9
2000-02-22,0.1,79,-15.1,8
2000-02-23,0.2,78,-20.9,7
2000-02-24,0,78,-25.4,8
2000-02-25,-1,78,-25.2,7
2000-02-26,0.5,77,-21.7,1
2000-02-27,6.5,77,-9.3,8
2000-02-28,4.7,85,-8.3,7
2000-02-29,2.4,89,-11.6,8
2000-03-01,6.2,87,-12.1,8
2000-03-02,5.9,91,-5.6,8
2000-03-03,1,94,-9.4,8
2000-03-04,4.7,94,-8.2,7
2000-03-05,-1,96,-9.1,7
2000-03-06,1.6,95,-18.9,0
2000-03-07,2.2,96,-7.2,8
2000-03-08,1.5,96,-7.8,8
2000-03-09,2,98,-4.7,7
2000-03-10,0.5,99,-4.8,7
2000-03-11,0.2,98,-6.1,8
2000-03-12,-1,97,-7.6,8
2000-03-13,1.5,95,-7.5,0
2000-03-14,0.9,94,-2,7
2000-03-15,0.5,94,-4,7
2000-03-16,-1,94,-5.8,8
2000-03-17,-1,92,-10.6,0
2000-03-18,-1,92,-2.2,8
2000-03-19,-1,91,-1,7
2000-03-20,0.2,89,2.7,8
2000-03-21,-1,85,-2.3,0
2000-03-22,-1,84,-4.3,5
2000-03-23,-1,84,-5.4,1
2000-03-24,0.2,84,-1.6,1
2000-03-25,0.1,84,-4.7,7
2000-03-26,-1,84,-6.9,7
2000-03-27,-1,84,-10.5,0
2000-03-28,-1,84,-3.8,7
2000-03-29,0.2,84,-1.2,1
2000-03-30,-1,84,4.9,8
2000-03-31,0.7,81,0.1,0
2000-04-01,5.8,81,-3.1,8
2000-04-02,0,89,-6.7,8
2000-04-03,0.5,88,-12.7,0
2000-04-04,1.5,87,-4.7,7
2000-04-05,4,88,0.4,7
2000-04-06,1.5,87,-3,8
2000-04-07,-1,91,0.1,8
2000-04-08,-1,88,-4.8,0
2000-04-09,-1,87,-0.7,0
2000-04-10,-1,86,3.4,7
2000-04-11,0.2,82,1.9,3
2000-04-12,2.3,80,1.5,8
2000-04-13,0.1,79,1.8,8
2000-04-14,3.3,76,-0.2,7
2000-04-15,1,75,1.9,8
2000-04-16,0,73,2.1,7
2000-04-17,3.1,70,3.1,8
2000-04-18,0,65,4.1,8
2000-04-19,-1,60,6.1,7
2000-04-20,0.6,55,4.2,0
2000-04-21,0.1,49,5.5,5
2000-04-22,0.2,44,6.4,8
2000-04-23,4.7,38,3,7
2000-04-24,0,34,3.5,7
2000-04-25,10.9,33,1.3,5
2000-04-26,-1,30,2,8
2000-04-27,-1,28,1.2,0
2000-04-28,-1,28,1.9,0
2000-04-29,-1,25,3.2,1
2000-04-30,-1,22,-1.5,0
2000-05-01,-1,21,-0.8,0
2000-05-02,0.1,20,2.9,7
2000-05-03,0,17,4.6,8
2000-05-04,0.2,14,3.8,1
2000-05-05,2.1,10,4.1,8
2000-05-06,0,5,1.7,9
2000-05-07,1.9,3,2,9
2000-05-08,0.1,0,4.8,9
2000-05-09,-1,0,6.3,0
2000-05-10,0,0,7.2,5
2000-05-11,2,-1,2.6,7
2000-05-12,0,-1,-0.4,0
2000-05-13,0,-1,0.3,0
2000-05-14,1,-1,1.3,1
2000-05-15,0,-1,1.9,8
2000-05-16,-1,-1,2.8,9
2000-05-17,0,-1,2.3,7
2000-05-18,-1,-1,6.5,7
2000-05-19,-1,-1,12.4,5
2000-05-20,-1,-1,13.5,0
2000-05-21,0,-1,13.5,0
2000-05-22,0,-1,14.6,7
2000-05-23,5.5,-1,14.7,7
2000-05-24,4.8,-1,11.6,7
2000-05-25,2.9,-1,10.5,5
2000-05-26,15.4,-1,11.3,7
2000-05-27,4.1,-1,9.1,7
2000-05-28,1.7,-1,8.6,8
2000-05-29,0.7,-1,13.2,7
2000-05-30,1.8,-1,12.9,8
2000-05-31,1.7,-1,10.5,0
2000-06-01,0.8,-1,9.8,5
2000-06-02,2.5,-1,9.7,0
2000-06-03,5.6,-1,8.2,1
2000-06-04,1.7,-1,7.2,7
2000-06-05,0.3,-1,6.8,1
2000-06-06,-1,-1,11.3,8
2000-06-07,-1,-1,12.3,0
2000-06-08,2,-1,11.4,7
2000-06-09,0.2,-1,9.2,8
2000-06-10,4.6,-1,11.6,0
2000-06-11,7,-1,14.6,8
2000-06-12,1.6,-1,12.8,7
2000-06-13,9.9,-1,8.5,7
2000-06-14,0.2,-1,11.1,7
2000-06-15,5.4,-1,7,9
2000-06-16,0.1,-1,5.4,8
2000-06-17,0.6,-1,6.5,9
2000-06-18,0.6,-1,7.4,9
2000-06-19,10.5,-1,9.8,7
2000-06-20,0.3,-1,12.7,7
2000-06-21,0.8,-1,14.6,0
2000-06-22,4.8,-1,12.7,7
2000-06-23,7.6,-1,15.2,7
2000-06-24,0.2,-1,15.4,0
2000-06-25,-1,-1,17.8,0
2000-06-26,1.1,-1,16.3,1
2000-06-27,2,-1,18.8,8
2000-06-28,-1,-1,18.9,3
2000-06-29,-1,-1,24.6,3
2000-06-30,-1,-1,21,0
2000-07-01,2.4,-1,13.1,5
2000-07-02,0,-1,10.5,8
2000-07-03,-1,-1,10.1,7
2000-07-04,16,-1,12,7
2000-07-05,0.6,-1,14,7
2000-07-06,-1,-1,13.4,1
2000-07-07,0,-1,12.9,0
2000-07-08,2.5,-1,13.5,7
2000-07-09,1.6,-1,15.8,7
2000-07-10,11.2,-1,13.5,7
2000-07-11,-1,-1,15.7,7
2000-07-12,0,-1,16.9,5
2000-07-13,0.5,-1,17,1
2000-07-14,1.7,-1,18.4,5
2000-07-15,1.2,-1,17.1,1
2000-07-16,0.3,-1,20.3,7
2000-07-17,0.1,-1,18.2,3
2000-07-18,0.5,-1,18.9,7
2000-07-19,1.1,-1,22.2,7
2000-07-20,0.3,-1,19.5,0
2000-07-21,0.4,-1,20.2,7
2000-07-22,1.5,-1,20.9,7
2000-07-23,7.4,-1,20.1,3
2000-07-24,0.2,-1,17,7
2000-07-25,-1,-1,11.2,0
2000-07-26,-1,-1,12.1,0
2000-07-27,-1,-1,14.2,0
2000-07-28,-1,-1,16,0
2000-07-29,-1,-1,17.4,9
2000-07-30,-1,-1,17.9,9
2000-07-31,-1,-1,17,9
2000-08-01,0.6,-1,15.7,1
2000-08-02,3.4,-1,10.6,0
2000-08-03,0.1,-1,11.7,7
2000-08-04,-1,-1,12.5,7
2000-08-05,-1,-1,13.6,1
2000-08-06,-1,-1,15.2,0
2000-08-07,5.1,-1,13.4,1
2000-08-08,0.7,-1,11.8,7
2000-08-09,0.4,-1,11.6,3
2000-08-10,4.6,-1,11.5,0
2000-08-11,0.7,-1,11.4,1
2000-08-12,3.1,-1,11.6,8
2000-08-13,0.3,-1,13.5,7
2000-08-14,2.1,-1,9,0
2000-08-15,-1,-1,9.7,0
2000-08-16,0,-1,11.9,8
2000-08-17,3.8,-1,10.6,8
2000-08-18,2.4,-1,10.8,7
2000-08-19,10.5,-1,11.7,7
2000-08-20,0.2,-1,10.3,8
2000-08-21,0.2,-1,11.5,8
2000-08-22,1.6,-1,10.7,7
2000-08-23,3.8,-1,11.3,7
2000-08-24,16.1,-1,10.8,8
2000-08-25,0.2,-1,12,7
2000-08-26,-1,-1,10.5,0
2000-08-27,-1,-1,14.2,0
2000-08-28,0,-1,14.9,7
2000-08-29,-1,-1,13.5,1
2000-08-30,-1,-1,11.9,5
2000-08-31,0.5,-1,11.7,7
2000-09-01,0.4,-1,10.9,1
2000-09-02,0.9,-1,10.2,9
2000-09-03,-1,-1,9.3,9
2000-09-04,0.6,-1,5,9
2000-09-05,0.2,-1,4.8,9
2000-09-06,-1,-1,2.8,9
2000-09-07,-1,-1,2.6,9
2000-09-08,5.9,-1,4.7,9
2000-09-09,0.4,-1,8.4,9
2000-09-10,0.4,-1,6.7,9
2000-09-11,2.1,-1,8.4,9
2000-09-12,2,-1,8,9
2000-09-13,2.2,-1,5.7,9
2000-09-14,-1,-1,1.4,9
2000-09-15,0.1,-1,2.1,9
2000-09-16,0,-1,4.3,9
2000-09-17,0,-1,9.6,9
2000-09-18,0,-1,10.3,9
2000-09-19,-1,-1,10.1,9
2000-09-20,0.7,-1,5.1,9
2000-09-21,-1,-1,6.5,9
2000-09-22,-1,-1,3.9,9
2000-09-23,-1,-1,9.6,9
2000-09-24,0,-1,9.3,9
2000-09-25,-1,-1,6.1,9
2000-09-26,-1,-1,2.2,0
2000-09-27,-1,-1,5.2,1
2000-09-28,0.6,-1,8.3,8
2000-09-29,4.5,-1,8.5,8
2000-09-30,0.1,-1,11.1,7
2000-10-01,0.1,-1,10.3,7
2000-10-02,1.2,-1,6.8,7
2000-10-03,0.1,-1,9.4,8
2000-10-04,0,-1,9.4,8
2000-10-05,1.8,-1,7.5,8
2000-10-06,0.9,-1,10.5,7
2000-10-07,0.2,-1,11.3,8
2000-10-08,-1,-1,8.8,7
2000-10-09,0,-1,9.6,7
2000-10-10,-1,-1,9.1,8
2000-10-11,-1,-1,6.5,8
2000-10-12,-1,-1,3.8,8
2000-10-13,6,-1,6.2,8
2000-10-14,-1,-1,8.3,7
2000-10-15,0.1,-1,2.3,8
2000-10-16,0,-1,5.6,8
2000-10-17,0,-1,7,8
2000-10-18,0.4,-1,7.9,8
2000-10-19,1,-1,8.2,8
2000-10-20,0.4,-1,7.5,0
2000-10-21,0,-1,6.5,7
2000-10-22,5.7,-1,7.2,7
2000-10-23,1.4,-1,2.1,1
2000-10-24,17.6,-1,1.9,7
2000-10-25,4.8,-1,3.1,8
2000-10-26,8.3,-1,1.4,8
2000-10-27,0.1,0,0.3,8
2000-10-28,0,0,-3.5,1
2000-10-29,-1,0,-5.2,7
2000-10-30,-1,0,-10.4,8
2000-10-31,3.7,0,-3.2,0
2000-11-01,4.5,4,-2,9
2000-11-02,4,9,-1.1,8
2000-11-03,0.4,15,-2.3,8
2000-11-04,5.5,13,-0.6,8
2000-11-05,8.5,6,2.9,8
2000-11-06,7.3,1,4.6,7
2000-11-07,0,-1,2.4,8
2000-11-08,3.2,-1,1.7,8
2000-11-09,1.1,-1,3.6,8
2000-11-10,0.5,-1,4.6,7
2000-11-11,0.6,-1,1.8,8
2000-11-12,0.6,-1,1.7,8
2000-11-13,0.3,-1,2.4,8
2000-11-14,2.4,0,1.4,8
2000-11-15,0.1,0,0.6,8
2000-11-16,0.1,0,-1.3,8
2000-11-17,0,0,-3.2,7
2000-11-18,0.1,0,-3.3,8
2000-11-19,0.1,0,-5.5,7
2000-11-20,0.2,1,-9.3,5
2000-11-21,-1,1,-15.7,7
2000-11-22,-1,1,-17.6,0
2000-11-23,2.5,1,-9.6,0
2000-11-24,2.7,5,-0.7,8
2000-11-25,0.4,2,1.2,8
2000-11-26,5.3,1,-0.2,8
2000-11-27,0.6,8,-0.4,8
2000-11-28,0.4,6,-0.1,8
2000-11-29,0.8,7,-4.7,8
2000-11-30,0.2,7,-3.3,8
2000-12-01,1.4,7,-2.4,8
2000-12-02,11.2,8,-3.6,8
2000-12-03,3.5,19,-3.4,8
2000-12-04,0.5,22,-5.5,8
2000-12-05,1.6,20,-4.8,8
2000-12-06,0.4,18,2.2,8
2000-12-07,1.7,6,3.4,8
2000-12-08,3.1,5,-0.3,8
2000-12-09,-1,8,-9.1,7
2000-12-10,7,8,-13.6,7
2000-12-11,1.3,15,-5.2,8
2000-12-12,2.4,14,0.1,8
2000-12-13,0.1,13,0.2,9
2000-12-14,2.3,12,-1.5,5
2000-12-15,0.4,15,-0.7,7
2000-12-16,-1,15,-1.4,8
2000-12-17,0.1,15,-2,8
2000-12-18,-1,15,-5.2,8
2000-12-19,-1,15,-17.8,7
2000-12-20,-1,15,-15.3,9
2000-12-21,1.2,15,-17.9,9
2000-12-22,5,16,-5.2,8
2000-12-23,0.6,22,-10,8
2000-12-24,0,24,-18.3,0
2000-12-25,-1,24,-21.3,7
2000-12-26,-1,23,-29.6,8
2000-12-27,2,22,-34.1,7
2000-12-28,1.3,24,-20.2,5
2000-12-29,3.3,27,-18.5,0
2000-12-30,1.1,30,-9.6,8
2000-12-31,2.3,31,-15.3,8
2001-01-01,0.3,32,-9.7,8
2001-01-02,0,32,-4.4,8
2001-01-03,0,30,-4.8,8
2001-01-04,0.2,30,-5.3,8
2001-01-05,0.1,30,-6.7,8
2001-01-06,0,29,-5.5,7
2001-01-07,0.4,28,-5.5,8
2001-01-08,2.7,28,-5.9,8
2001-01-09,3.3,29,-9.8,8
2001-01-10,4.4,32,-8.2,8
2001-01-11,1,37,-6.4,8
2001-01-12,0.2,38,-11.9,7
2001-01-13,-1,37,-13.2,8
2001-01-14,-1,36,-3.1,0
2001-01-15,0.2,36,0,7
2001-01-16,0.1,35,-1.7,7
2001-01-17,-1,34,-6.3,0
2001-01-18,0.3,34,-4.7,7
2001-01-19,0,34,-1.7,8
2001-01-20,-1,34,-13.2,0
2001-01-21,-1,34,-14.5,7
2001-01-22,0,34,-4.5,8
2001-01-23,0.2,33,-5.4,7
2001-01-24,0,33,-19.2,7
2001-01-25,2.8,33,-9.6,8
2001-01-26,0.2,35,-1.7,9
2001-01-27,0.7,35,-1.1,8
2001-01-28,3.2,35,-3,8
2001-01-29,0.8,37,-8.5,8
2001-01-30,0.3,37,-13.1,7
2001-01-31,0.3,38,-14.6,8
2001-02-01,-1,38,-23.5,1
2001-02-02,-1,38,-30.3,9
2001-02-03,0.6,38,-30.3,1
2001-02-04,0.8,38,-24.1,1
2001-02-05,1.4,40,-16.7,7
2001-02-06,3.3,41,-18.6,1
2001-02-07,2.3,44,-15.9,9
2001-02-08,0.5,45,-7.4,0
2001-02-09,-1,43,-15.2,3
2001-02-10,-1,43,-17.9,0
2001-02-11,0.6,43,-6.2,0
2001-02-12,3,43,-6.6,7
2001-02-13,3.5,46,-5.9,8
2001-02-14,1.7,48,-1.4,9
2001-02-15,-1,47,-2.4,9
2001-02-16,-1,47,-8.5,0
2001-02-17,0.2,47,-3,7
2001-02-18,1.5,46,-5.1,8
2001-02-19,1.4,47,-5.6,8
2001-02-20,3.4,48,-12.8,8
2001-02-21,0,54,-18.3,8
2001-02-22,-1,53,-29.9,0
2001-02-23,-1,53,-29.3,1
2001-02-24,0.4,52,-27,9
2001-02-25,1.6,51,-20.5,8
2001-02-26,0.4,53,-18.8,8
2001-02-27,0.3,53,-22.2,8
2001-02-28,0,53,-25.2,7
2001-03-01,-1,53,-27,8
2001-03-02,2.8,53,-23.2,3
2001-03-03,6.3,55,-12.7,8
2001-03-04,3.1,60,-14.6,8
2001-03-05,-1,66,-14.1,8
2001-03-06,0.3,65,-19.9,0
2001-03-07,0,64,-12.6,8
2001-03-08,0.3,62,-11.5,0
2001-03-09,0.2,61,-12.5,1
2001-03-10,0.2,60,-7,8
2001-03-11,0.2,59,-7.2,8
2001-03-12,0.1,59,-5.7,7
2001-03-13,0.9,58,-5.6,7
2001-03-14,1,61,-6.6,8
2001-03-15,-1,63,-10.7,8
2001-03-16,-1,61,-16.5,0
2001-03-17,-1,60,-18.5,0
2001-03-18,0,59,-12.2,5
2001-03-19,-1,58,-14,7
2001-03-20,0.6,58,-11.9,5
2001-03-21,0.5,58,-11.1,8
2001-03-22,0,59,-15.6,8
2001-03-23,0.5,59,-10.7,7
2001-03-24,-1,58,-8,7
2001-03-25,1.8,58,-10.2,7
2001-03-26,-1,59,-9.4,8
2001-03-27,-1,59,-16.8,7
2001-03-28,-1,59,-18.2,0
2001-03-29,-1,59,-14,0
2001-03-30,0.5,58,-6.1,0
2001-03-31,0.4,59,-2.1,8
2001-04-01,3.9,58,-6.8,0
2001-04-02,1.5,64,0.6,8
2001-04-03,2.7,61,-3.4,8
2001-04-04,7.4,64,-8.8,7
2001-04-05,0.4,75,-8.6,5
2001-04-06,0,72,2.5,8
2001-04-07,0.7,65,2.3,8
2001-04-08,-1,61,2,7
2001-04-09,3.9,57,2.2,7
2001-04-10,1.4,56,1,7
2001-04-11,-1,54,-2,0
2001-04-12,-1,54,-5.7,7
2001-04-13,-1,54,-8.3,0
2001-04-14,0.6,54,-6.9,0
2001-04-15,5.1,54,-5.8,0
2001-04-16,0.5,56,0,8
2001-04-17,2,57,-0.5,8
2001-04-18,1.7,59,-1.1,0
2001-04-19,2.7,59,2.3,8
2001-04-20,-1,58,1.3,7
2001-04-21,-1,57,2.5,7
2001-04-22,-1,53,2.4,5
2001-04-23,0.2,49,2.8,0
2001-04-24,2.9,45,1.8,8
2001-04-25,-1,42,3.1,8
2001-04-26,0.3,38,4.8,7
2001-04-27,0.1,32,4.9,8
2001-04-28,4.1,27,6.5,7
2001-04-29,0.6,19,4.1,3
2001-04-30,0.1,14,5.6,7
2001-05-01,-1,8,4.5,7
2001-05-02,-1,5,5.1,5
2001-05-03,0.1,0,7.4,7
2001-05-04,-1,0,5.9,0
2001-05-05,-1,-1,6,7
2001-05-06,0,-1,3.8,7
2001-05-07,-1,-1,5.3,0
2001-05-08,-1,-1,12,8
2001-05-09,0,-1,10.1,1
2001-05-10,0,-1,3.1,1
2001-05-11,0,-1,2.1,7
2001-05-12,7,-1,3.2,7
2001-05-13,5.9,-1,5.1,7
2001-05-14,0.9,-1,6.5,7
2001-05-15,10.3,-1,5.2,7
2001-05-16,-1,-1,7.6,3
2001-05-17,0.6,-1,7.8,1
2001-05-18,5.8,-1,2,7
2001-05-19,11.9,-1,2.9,7
2001-05-20,2.3,-1,1.8,8
2001-05-21,0,1,1.8,8
2001-05-22,0.2,-1,0.9,8
2001-05-23,5.8,-1,-0.4,0
2001-05-24,0.8,-1,2.1,7
2001-05-25,0.1,-1,2,8
2001-05-26,0.2,-1,2,7
2001-05-27,3.3,-1,2.5,7
2001-05-28,0.1,-1,1.9,8
2001-05-29,0.1,-1,2.1,8
2001-05-30,-1,-1,5.6,8
2001-05-31,-1,-1,8.3,0
2001-06-01,-1,-1,11.1,8
2001-06-02,-1,-1,12.4,7
2001-06-03,-1,-1,12.3,7
2001-06-04,0.1,-1,12.2,7
2001-06-05,7.3,-1,7.5,7
2001-06-06,-1,-1,13.9,8
2001-06-07,-1,-1,16,7
2001-06-08,3.2,-1,13.9,1
2001-06-09,3.3,-1,13.9,7
2001-06-10,2.2,-1,14.4,7
2001-06-11,0.2,-1,11.4,8
2001-06-12,0.3,-1,12.9,0
2001-06-13,0.3,-1,17.8,7
2001-06-14,-1,-1,12.8,0
2001-06-15,10.3,-1,13,8
2001-06-16,2.6,-1,12.1,7
2001-06-17,0.1,-1,14.3,7
2001-06-18,-1,-1,13.5,7
2001-06-19,-1,-1,14.7,5
2001-06-20,-1,-1,14.4,0
2001-06-21,-1,-1,14,5
2001-06-22,-1,-1,15.2,8
2001-06-23,-1,-1,17.6,0
2001-06-24,-1,-1,17,0
2001-06-25,-1,-1,11.8,0
2001-06-26,-1,-1,13.6,0
2001-06-27,1.8,-1,14.4,5
2001-06-28,1.1,-1,15.1,8
2001-06-29,2.8,-1,18.3,7
2001-06-30,0.2,-1,14.3,7
2001-07-01,4.7,-1,14,7
2001-07-02,5.6,-1,17,7
2001-07-03,0.1,-1,14.5,7
2001-07-04,-1,-1,16.7,5
2001-07-05,1,-1,14.3,7
2001-07-06,-1,-1,12.8,0
2001-07-07,-1,-1,15.3,1
2001-07-08,1.9,-1,16.4,7
2001-07-09,5.6,-1,16.8,0
2001-07-10,-1,-1,21.1,1
2001-07-11,1.7,-1,19,0
2001-07-12,0.1,-1,19.8,5
2001-07-13,0,-1,17,3
2001-07-14,3.6,-1,15,0
2001-07-15,0.1,-1,15.9,1
2001-07-16,-1,-1,17.3,7
2001-07-17,2.5,-1,17,5
2001-07-18,1.2,-1,14.1,8
2001-07-19,0,-1,17.5,7
2001-07-20,-1,-1,19.9,7
2001-07-21,-1,-1,17.6,7
2001-07-22,-1,-1,12.7,8
2001-07-23,-1,-1,10.8,8
2001-07-24,-1,-1,14.9,8
2001-07-25,10.3,-1,16.7,0
2001-07-26,4.3,-1,17.3,5
2001-07-27,0,-1,15.8,7
2001-07-28,7.6,-1,11.8,7
2001-07-29,5.5,-1,12.5,0
2001-07-30,16.4,-1,15.4,8
2001-07-31,4.9,-1,12.4,7
2001-08-01,0.5,-1,10.3,3
2001-08-02,0.8,-1,8.5,8
2001-08-03,0,-1,10,7
2001-08-04,-1,-1,12.9,1
2001-08-05,0.7,-1,12.4,8
2001-08-06,4.3,-1,13.4,8
2001-08-07,0.1,-1,14.2,8
2001-08-08,0.9,-1,15,8
2001-08-09,8.7,-1,13.8,0
2001-08-10,0.2,-1,16.3,8
2001-08-11,-1,-1,14.7,0
2001-08-12,5,-1,13.3,7
2001-08-13,3.9,-1,10.3,7
2001-08-14,12.3,-1,11.4,8
2001-08-15,2,-1,11,0
2001-08-16,0.2,-1,12.8,5
2001-08-17,1,-1,17.1,8
2001-08-18,1,-1,13.6,7
2001-08-19,3.9,-1,10.6,1
2001-08-20,0.1,-1,6.8,0
2001-08-21,-1,-1,7.6,0
2001-08-22,0.2,-1,8.5,0
2001-08-23,-1,-1,10.9,5
2001-08-24,-1,-1,10.1,1
2001-08-25,-1,-1,8.6,1
2001-08-26,0,-1,9.7,0
2001-08-27,-1,-1,7.7,0
2001-08-28,-1,-1,8.2,0
2001-08-29,-1,-1,9.2,7
2001-08-30,3.8,-1,8.9,0
2001-08-31,0.1,-1,7.3,0
2001-09-01,0.3,-1,7.3,8
2001-09-02,-1,-1,9.2,7
2001-09-03,-1,-1,8.1,7
2001-09-04,0.1,-1,6.6,0
2001-09-05,2.8,-1,10.4,8
2001-09-06,0.5,-1,10.4,8
2001-09-07,5.2,-1,11.8,8
2001-09-08,0.1,-1,9.7,7
2001-09-09,0.5,-1,10.9,5
2001-09-10,0.1,-1,12.7,7
2001-09-11,1.1,-1,13,7
2001-09-12,0.1,-1,12,8
2001-09-13,6,-1,10.3,0
2001-09-14,9.4,-1,11.5,7
2001-09-15,4,-1,11.3,3
2001-09-16,0.2,-1,11.3,7
2001-09-17,0.1,-1,6.7,0
2001-09-18,0.1,-1,9.6,0
2001-09-19,0.1,-1,9.3,0
2001-09-20,-1,-1,11.5,0
2001-09-21,0,-1,13.4,7
2001-09-22,11.1,-1,9.7,8
2001-09-23,0.2,-1,0.9,1
2001-09-24,0,-1,-0.6,0
2001-09-25,0.6,-1,2.6,8
2001-09-26,-1,-1,1.2,0
2001-09-27,7.4,-1,2.4,7
2001-09-28,2,7,0.4,0
2001-09-29,0.2,5,1.8,7
2001-09-30,0,0,-0.1,0
2001-10-01,4.7,-1,-0.4,1
2001-10-02,1.4,-1,3.5,8
2001-10-03,1.9,-1,3.5,7
2001-10-04,0.5,-1,1.1,5
2001-10-05,2.5,-1,2.4,7
2001-10-06,0,0,0.6,8
2001-10-07,1.1,-1,-1,9
2001-10-08,5.5,0,1.5,8
2001-10-09,0.1,-1,4.2,8
2001-10-10,-1,-1,1.6,8
2001-10-11,0,-1,1.4,7
2001-10-12,0,-1,0.7,8
2001-10-13,2.1,-1,2.3,8
2001-10-14,0,-1,4.5,8
2001-10-15,0,-1,6.6,7
2001-10-16,0,-1,5,8
2001-10-17,1,-1,-1.4,8
2001-10-18,1.6,-1,1.5,8
2001-10-19,0.2,-1,1.5,7
2001-10-20,0,-1,-0.6,8
2001-10-21,3.6,0,0.3,7
2001-10-22,-1,0,-2.4,5
2001-10-23,-1,0,-5.2,3
2001-10-24,0.1,0,-6.2,0
2001-10-25,-1,0,1.1,8
2001-10-26,0,0,1.7,7
2001-10-27,10.3,-1,5.9,8
2001-10-28,1.5,-1,2.8,7
2001-10-29,1.1,2,-0.5,8
2001-10-30,0,4,-5.4,8
2001-10-31,0.2,4,-6.5,8
2001-11-01,1.8,4,-2.8,8
2001-11-02,0.4,6,-5.4,8
2001-11-03,0.3,5,0,8
2001-11-04,4.2,5,0.8,7
2001-11-05,-1,8,-8.2,8
2001-11-06,0.4,8,-18.2,0
2001-11-07,1.4,8,-5.1,7
2001-11-08,-1,10,-10.6,0
2001-11-09,0,10,-15.5,8
2001-11-10,1.5,10,-14.4,9
2001-11-11,3.2,11,0.2,9
2001-11-12,0.2,18,-5.5,8
2001-11-13,0.3,17,-24.3,9
2001-11-14,0,17,-21.5,3
2001-11-15,3.5,16,-13,0
2001-11-16,0.4,18,-12.1,7
2001-11-17,3.7,19,-11.8,5
2001-11-18,0.3,23,-11.2,7
2001-11-19,0.1,23,-15.5,8
2001-11-20,0,23,-9.7,8
2001-11-21,0.1,22,-3,8
2001-11-22,0.1,22,-8.8,8
2001-11-23,0,22,-5.7,7
2001-11-24,0.1,22,-6.6,8
2001-11-25,-1,22,-4.9,7
2001-11-26,-1,21,-3.8,8
2001-11-27,0.3,20,-1.9,8
2001-11-28,0.4,20,-0.5,8
2001-11-29,0.3,20,-2.2,8
2001-11-30,-1,20,-4.3,8
2001-12-01,-1,20,-7.4,8
2001-12-02,0.2,20,-4.7,7
2001-12-03,1.4,20,-1.6,8
2001-12-04,0.3,22,-1.3,9
2001-12-05,-1,22,-10.2,8
2001-12-06,0.1,21,-22.1,0
2001-12-07,0.6,21,-12.7,8
2001-12-08,1.1,23,-9,9
2001-12-09,0.6,25,-1.8,8
2001-12-10,0.2,24,-9.9,0
2001-12-11,0.2,24,-7.5,7
2001-12-12,0.5,24,-4.4,7
2001-12-13,-1,24,-4.7,8
2001-12-14,-1,24,-6.9,8
2001-12-15,-1,24,-8.7,8
2001-12-16,-1,24,-7.3,0
2001-12-17,0,23,-9.9,0
2001-12-18,-1,23,-24.2,0
2001-12-19,-1,23,-29.7,8
2001-12-20,0.8,23,-33.7,0
2001-12-21,-1,24,-30.9,8
2001-12-22,0.1,24,-30.2,1
2001-12-23,0.1,24,-20.7,9
2001-12-24,0.4,25,-21.2,8
2001-12-25,-1,27,-19.9,8
2001-12-26,0.4,27,-28.7,1
2001-12-27,0.3,27,-18.2,7
2001-12-28,0.4,27,-28.5,0
2001-12-29,0.4,28,-29,5
